ScenarioCode,OldStaffMemberCode,NewStaffMemberCode
,50105945,50105945
,50105953,50105953
,50105957,50105957
,50105963,50105963
,50105965,50105965
,50105967,50105967
,50105969,50105969
,50105971,50105971
,50105975,50105975
,50105979,50105979
,50105983,50105983
,50105985,50105985
,50105987,50105987
,50105989,50105989
,50105991,50105991
,50105997,50105997
,50106003,50106003
,50106005,50106005
,50106007,50106007
,50106013,50106013
,50106015,50106015
,50106019,50106019
,50106021,50106021
,50106023,50106023
,50106031,50106031
,50106037,50106037
,50106039,50106039
,50106041,50106041
,50106043,50106043
,50106045,50106045
,50106047,50106047
,50106049,50106049
,50106053,50106053
,50106055,50106055
,50106061,50106061
,50106063,50106063
,50106065,50106065
,50106069,50106069
,50106071,50106071
,50106075,50106075
,50106077,50106077
,50106079,50106079
,50106081,50106081
,50106083,50106083
,50106085,50106085
,50106089,50106089
,50106093,50106093
,50106095,50106095
,50106099,50106099
,50106103,50106103
,50106104,50106104
,50106118,50106118
,50106128,50106128
,50106172,50106172
,50106173,50106173
,50106189,50106189
,50106219,50106219
,50106468,50106468
,50106471,50106471
,50106473,50106473
,50106605,50106605
,50106907,50106907
,50106908,50106908
,50107076,50107076
,50107080,50107080
,50107081,50107081
,50107082,50107082
,50107083,50107083
,50107084,50107084
,50107085,50107085
,50107087,50107087
,50107088,50107088
,50107089,50107089
,50107091,50107091
,50107093,50107093
,50107094,50107094
,50107095,50107095
,50107097,50107097
,50107155,50107155
,50107194,50107194
,50107195,50107195
,50107196,50107196
,50107198,50107198
,50107357,50107357
,50107358,50107358
,50107360,50107360
,50107364,50107364
,50107365,50107365
,50107366,50107366
,50107367,50107367
,50107368,50107368
,50107369,50107369
,50107370,50107370
,50107371,50107371
,50107373,50107373
,50107374,50107374
,50107376,50107376
,50107377,50107377
,50107378,50107378
,50107379,50107379
,50107380,50107380
,50107441,50107441
,50107444,50107444
,50107445,50107445
,50107446,50107446
,50107474,50107474
,50107475,50107475
,50107476,50107476
,50107477,50107477
,50107478,50107478
,50107536,50107536
,50107570,50107570
,50107572,50107572
,50107573,50107573
,50107822,50107822
,50107823,50107823
,50107825,50107825
,50107839,50107839
,50107957,50107957
,50108011,50108011
,50108014,50108014
,50108016,50108016
,50108042,50108042
,50108070,50108070
,50108072,50108072
,50108082,50108082
,50108125,50108125
,50108128,50108128
,50108129,50108129
,50108184,50108184
,50108188,50108188
,50108190,50108190
,50108200,50108200
,50108203,50108203
,50108204,50108204
,50108205,50108205
,50108340,50108340
,50108343,50108343
,50108508,50108508
,50108950,50108950
,50108952,50108952
,50109179,50109179
,50109288,50109288
,50109352,50109352
,50109790,50109790
,50109805,50109805
,50109848,50109848
,50109849,50109849
,50109875,50109875
,50109988,50109988
,50110118,50110118
,50110164,50110164
,50110166,50110166
,50110167,50110167
,50110588,50110588
,50110616,50110616
,50110620,50110620
,50110623,50110623
,50110763,50110763
,50110851,50110851
,50110926,50110926
,50110939,50110939
,50110949,50110949
,50110950,50110950
,50110951,50110951
,50110959,50110959
,50111000,50111000
,50111003,50111003
,50111254,50111254
,50111256,50111256
,50111260,50111260
,50111350,50111350
,50111351,50111351
,50111379,50111379
,50111421,50111421
,50111428,50111428
,50111429,50111429
,50111431,50111431
,50111442,50111442
,50111443,50111443
,50111814,50111814
,50111817,50111817
,50111818,50111818
,50111819,50111819
,50112056,50112056
,50112138,50112138
,50112139,50112139
,50112140,50112140
,50112142,50112142
,50112176,50112176
,50112177,50112177
,50112198,50112198
,50112211,50112211
,50112212,50112212
,50112621,50112621
,50112624,50112624
,50112627,50112627
,50112629,50112629
,50112630,50112630
,50112638,50112638
,50112641,50112641
,50112642,50112642
,50112645,50112645
,50112647,50112647
,50113093,50113093
,50113115,50113115
,50113117,50113117
,50113123,50113123
,50113146,50113146
,50113211,50113211
,50113212,50113212
,50113214,50113214
,50113215,50113215
,50113221,50113221
,50113413,50113413
,50113416,50113416
,50113440,50113440
,50113854,50113854
,50113856,50113856
,50113865,50113865
,50113866,50113866
,50113869,50113869
,50114036,50114036
,50114037,50114037
,50114038,50114038
,50114128,50114128
,50114325,50114325
,50114368,50114368
,50114471,50114471
,50114472,50114472
,50114473,50114473
,50114475,50114475
,50114477,50114477
,50114478,50114478
,50114491,50114491
,50114495,50114495
,50114496,50114496
,50114508,50114508
,50114509,50114509
,50114510,50114510
,50114594,50114594
,50114597,50114597
,50114598,50114598
,50114600,50114600
,50114601,50114601
,50114602,50114602
,50114604,50114604
,50114606,50114606
,50114607,50114607
,50114608,50114608
,50114609,50114609
,50114610,50114610
,50114613,50114613
,50114614,50114614
,50114615,50114615
,50114618,50114618
,50114766,50114766
,50114772,50114772
,50114790,50114790
,50114801,50114801
,50114802,50114802
,50114819,50114819
,50114820,50114820
,50114864,50114864
,50114865,50114865
,50114866,50114866
,50114879,50114879
,50114880,50114880
,50114881,50114881
,50114891,50114891
,50114892,50114892
,50114894,50114894
,50114896,50114896
,50114897,50114897
,50114898,50114898
,50114899,50114899
,50114900,50114900
,50114901,50114901
,50114902,50114902
,50114903,50114903
,50114905,50114905
,50114906,50114906
,50114907,50114907
,50114908,50114908
,50115003,50115003
,50115017,50115017
,50115019,50115019
,50115100,50115100
,50115149,50115149
,50115151,50115151
,50115178,50115178
,50115179,50115179
,50115180,50115180
,50115181,50115181
,50115260,50115260
,50115261,50115261
,50115262,50115262
,50115263,50115263
,50115265,50115265
,50115266,50115266
,50115267,50115267
,50115277,50115277
,50115285,50115285
,50115286,50115286
,50115334,50115334
,50115341,50115341
,50115361,50115361
,50115362,50115362
,50115364,50115364
,50115366,50115366
,50115374,50115374
,50115376,50115376
,50115377,50115377
,50115380,50115380
,50115382,50115382
,50115383,50115383
,50115384,50115384
,50115385,50115385
,50115387,50115387
,50115388,50115388
,50115389,50115389
,50115390,50115390
,50115391,50115391
,50115392,50115392
,50115393,50115393
,50115394,50115394
,50115896,50115896
,50116131,50116131
,50116132,50116132
,50116133,50116133
,50116136,50116136
,50116137,50116137
,50116138,50116138
,50116147,50116147
,50116148,50116148
,50116153,50116153
,50116154,50116154
,50116503,50116503
,50116505,50116505
,50116506,50116506
,50116508,50116508
,50116509,50116509
,50116510,50116510
,50116511,50116511
,50116514,50116514
,50116515,50116515
,50116528,50116528
,50116530,50116530
,50116532,50116532
,50116533,50116533
,50116544,50116544
,50116554,50116554
,50116555,50116555
,50116556,50116556
,50116559,50116559
,50116561,50116561
,50116564,50116564
,50116565,50116565
,50116566,50116566
,50116568,50116568
,50116571,50116571
,50116577,50116577
,50116578,50116578
,50116579,50116579
,50116580,50116580
,50116581,50116581
,50116584,50116584
,50116586,50116586
,50116592,50116592
,50116593,50116593
,50116597,50116597
,50116599,50116599
,50116600,50116600
,50116601,50116601
,50116608,50116608
,50116609,50116609
,50116610,50116610
,50116611,50116611
,50116612,50116612
,50116613,50116613
,50116614,50116614
,50116617,50116617
,50116618,50116618
,50116619,50116619
,50116620,50116620
,50116621,50116621
,50116622,50116622
,50116623,50116623
,50116624,50116624
,50116625,50116625
,50116626,50116626
,50116627,50116627
,50116628,50116628
,50116629,50116629
,50116631,50116631
,50116632,50116632
,50116635,50116635
,50116638,50116638
,50116639,50116639
,50116642,50116642
,50116644,50116644
,50116646,50116646
,50116647,50116647
,50116648,50116648
,50116650,50116650
,50116651,50116651
,50116653,50116653
,50116700,50116700
,51000002,51000002
,51000006,51000006
,51000007,51000007
,51000008,51000008
,51000009,51000009
,51000011,51000011
,51000012,51000012
,51000014,51000014
,51000015,51000015
,51000016,51000016
,51000018,51000018
,51000019,51000019
,51000020,51000020
,52000008,52000008
,52000009,52000009
,52000010,52000010
,52000011,52000011
,52000012,52000012
,52000013,52000013
,52000014,52000014
,52000015,52000015
,52000016,52000016
,52000018,52000018
,52000019,52000019
,53000002,53000002
,53000003,53000003
,53000004,53000004
,53000005,53000005
,53000006,53000006
,53000007,53000007
,53000008,53000008
,54000003,54000003
,54000004,54000004
,54000005,54000005
,54000006,54000006
,54000007,54000007
,54000008,54000008
,54000009,54000009
,55000030,55000030
,55000031,55000031
,55000034,55000034
,55000035,55000035
,55000036,55000036
,55000037,55000037
,55000038,55000038
,55000039,55000039
,55000040,55000040
,55000041,55000041
,55000042,55000042
,55000044,55000044
,55000045,55000045
,55000046,55000046
,55000047,55000047
,55000048,55000048
,55000049,55000049
,56000008,56000008
,56000009,56000009
,56000010,56000010
,56000011,56000011
,56000012,56000012
,56000013,56000013
,56000014,56000014
,56000015,56000015
,57000006,57000006
,57000008,57000008
,57000011,57000011
,57000012,57000012
,57000014,57000014
,57000015,57000015
,57000016,57000016
,57000017,57000017
,57000018,57000018
,58000002,58000002
,58000003,58000003
,58000004,58000004
,58000005,58000005
,58000006,58000006
,58000007,58000007
,59000001,59000001
,59000002,59000002
,59000003,59000003
,59000004,59000004
,59000005,59000005
,59000006,59000006
,59000007,59000007
,59000008,59000008
,59000009,59000009
,59000010,59000010
,59000011,59000011
,60000001,60000001
,60000002,60000002
,60000010,60000010
,60000011,60000011
,60000013,60000013
,60000015,60000015
,60000017,60000017
,60000018,60000018
,60000019,60000019
,60000020,60000020
,60000021,60000021
,60000022,60000022
,60000023,60000023
,60000024,60000024
,60000025,60000025
,60000026,60000026
,60000027,60000027
,60000028,60000028
,60000029,60000029
,60000030,60000030
,60000031,60000031
,60000032,60000032
,60000033,60000033
