FinanceCode,Title,GroupingCode,CustomGrouping,AvailableToAllSchools,SchoolCodes,FinanceCodeTypeCode,LedgerCode,FinanceCodeEnabled
655150,SF: Boarding Staff - direct: Overtime,655150,B4,True,,BUDGET,SALARY,True
655200,SF: Boarding Staff - direct: Employers national insurance,655200,B4,True,,BUDGET,SALARY,True
655300,SF: Boarding Staff - direct: Employers pension contribution,655300,B4,True,,BUDGET,SALARY,True
655500,SF: Boarding Staff - direct: Agency staff - direct staff,655500,B4,True,,BUDGET,SALARY,True
655550,SF: Boarding Staff - direct: Compensation - direct staff,655550,B4,True,,BUDGET,SALARY,True
656100,SF: Boarding Staff - indirect: Wages and salaries,656100,B5,True,,BUDGET,SALARY,True
656150,SF: Boarding Staff - indirect: Overtime,656150,B5,True,,BUDGET,SALARY,True
656200,SF: Boarding Staff - indirect: Employers national insurance,656200,B5,True,,BUDGET,SALARY,True
656300,SF: Boarding Staff - indirect: Employers pension contribution,656300,B5,True,,BUDGET,SALARY,True
656520,SF: Boarding Staff - indirect: Agency staff - support,656520,B5,True,,BUDGET,SALARY,True
656570,SF: Boarding Staff - indirect: Compensation - support,656570,B5,True,,BUDGET,SALARY,True
656600,SF: Boarding Staff - indirect: Staff Welfare,656600,B5,True,,BUDGET,SALARY,True
656620,SF: Boarding Staff - indirect: Staff Development,656620,B5,True,,BUDGET,SALARY,True
656650,SF: Boarding Staff - indirect: Staff training,656650,B5,True,,BUDGET,SALARY,True
656700,SF: Boarding Staff - indirect: Staff insurance,656700,B5,True,,BUDGET,SALARY,True
675100,SF: Ind Emp Exp: Apprenticeship levy,675100,G1,True,,BUDGET,COSTCTR,True
675110,SF: Ind Emp Exp: Apprenticeship levy - support staff,675110,G1,True,,BUDGET,COSTCTR,True
675150,SF: Ind Emp Exp: Ex-gratia/severance - teachers,675150,G1,True,,BUDGET,COSTCTR,True
675170,SF: Ind Emp Exp: Ex-gratia/severance - support,675170,G1,True,,BUDGET,COSTCTR,True
675200,SF: Ind Emp Exp: Redundancy - teachers,675200,G1,True,,BUDGET,COSTCTR,True
675220,SF: Ind Emp Exp: Redundancy - support staff,675220,G1,True,,BUDGET,COSTCTR,True
675250,SF: Ind Emp Exp: Other restructuring - teachers,675250,G1,True,,BUDGET,COSTCTR,True
675270,SF: Ind Emp Exp: Other restructuring - support,675270,G1,True,,BUDGET,COSTCTR,True
675300,SF: Ind Emp Exp: Secondment income - teachers,675300,G1,True,,BUDGET,COSTCTR,True
675320,SF: Ind Emp Exp: Secondment income - support,675320,G1,True,,BUDGET,COSTCTR,True
675400,SF: Ind Emp Exp: Staff travel,675400,G1,True,,BUDGET,COSTCTR,True
675410,SF: Ind Emp Exp: Staff subsistence,675410,G1,True,,BUDGET,COSTCTR,True
675420,SF: Ind Emp Exp: Interview expenses,675420,G1,True,,BUDGET,COSTCTR,True
675430,SF: Ind Emp Exp: Staff uniforms,675430,G1,True,,BUDGET,COSTCTR,True
675440,SF: Ind Emp Exp: Childcare vouchers,675440,G1,True,,BUDGET,COSTCTR,True
675450,SF: Ind Emp Exp: Staff medical fees,675450,G1,True,,BUDGET,COSTCTR,True
675460,SF: Ind Emp Exp: Duty meals,675460,G1,True,,BUDGET,COSTCTR,True
675500,SF: Ind Emp Exp: Recruitment - teachers,675500,G1,True,,BUDGET,COSTCTR,True
675510,SF: Ind Emp Exp: Recruitment - support staff,675510,G1,True,,BUDGET,COSTCTR,True
675520,SF: Ind Emp Exp: Recruitment - leadership,675520,G1,True,,BUDGET,COSTCTR,True
675550,SF: Ind Emp Exp: Staff Advertising - teachers,675550,G1,True,,BUDGET,COSTCTR,True
675560,SF: Ind Emp Exp: Staff Advertising - support,675560,G1,True,,BUDGET,COSTCTR,True
675570,SF: Ind Emp Exp: Staff Advertising - leadership,675570,G1,True,,BUDGET,COSTCTR,True
675600,SF: Ind Emp Exp: DBS checks - teachers,675600,G1,True,,BUDGET,COSTCTR,True
675620,SF: Ind Emp Exp: DBS checks - support staff,675620,G1,True,,BUDGET,COSTCTR,True
675650,SF: Ind Emp Exp: Staff training - teachers,675650,G1,True,,BUDGET,COSTCTR,True
675670,SF: Ind Emp Exp: Staff training - support staff,675670,G1,True,,BUDGET,COSTCTR,True
675690,SF: Ind Emp Exp: Notional Apprenticeship levy exp,675690,G1,True,,BUDGET,COSTCTR,True
675700,SF: Ind Emp Exp: Other Ind Emp Expense - teachers,675700,G1,True,,BUDGET,COSTCTR,True
675720,SF: Ind Emp Exp: Other Ind Emp Expense - support,675720,G1,True,,BUDGET,COSTCTR,True
675750,SF: Ind Emp Exp: Supply insurance - teachers,675750,G1,True,,BUDGET,COSTCTR,True
675770,SF: Ind Emp Exp: Supply insurance - support,675770,G1,True,,BUDGET,COSTCTR,True
675780,SF: Ind Emp Exp: Employers liability insurance,675780,G1,True,,BUDGET,COSTCTR,True
675800,SF: Ind Emp Exp: Hospitality,675800,G1,True,,BUDGET,COSTCTR,True
710100,PR: R&M: Building Repair and Maintenance,710100,C0,True,,BUDGET,COSTCTR,True
710200,PR: R&M: Building Improvements,710200,C0,True,,BUDGET,COSTCTR,True
715100,PR: Rates: Rates,715100,C1,True,,BUDGET,COSTCTR,True
720100,PR: Energy: Gas,720100,C1,True,,BUDGET,COSTCTR,True
720200,PR: Energy: Oil,720200,C1,True,,BUDGET,COSTCTR,True
720300,PR: Energy: Electricity,720300,C1,True,,BUDGET,COSTCTR,True
725100,PR: Insurance: Risk Protection Arrangement,725100,C1,True,,BUDGET,COSTCTR,True
725200,PR: Insurance: Premises Insurance (not RPA),725200,C1,True,,BUDGET,COSTCTR,True
725300,PR: Insurance: Boarding Insurance,725300,C1,True,,BUDGET,COSTCTR,True
725400,PR: Insurance: Vehicle Insurance,725400,C1,True,,BUDGET,COSTCTR,True
730100,PR: Cleaning & Caretaking: Cleaning contracts,730100,C0,True,,BUDGET,COSTCTR,True
730200,PR: Cleaning & Caretaking: Cleaning equipment and materials,730200,C0,True,,BUDGET,COSTCTR,True
730300,PR: Cleaning & Caretaking: Window Cleaning,730300,C0,True,,BUDGET,COSTCTR,True
730400,PR: Cleaning & Caretaking: Caretaking Supplies and Equip,730400,C0,True,,BUDGET,COSTCTR,True
735100,PR: Operating leases: Building rent payable,735100,C1,True,,BUDGET,COSTCTR,True
735200,PR: Operating leases: Photocopiers,735200,C1,True,,BUDGET,COSTCTR,True
735300,PR: Operating leases: Telephony,735300,C1,True,,BUDGET,COSTCTR,True
735400,PR: Operating leases: Other equipment,735400,C1,True,,BUDGET,COSTCTR,True
740100,PR: Security: Security Alarms / CCTV Services,740100,C1,True,,BUDGET,COSTCTR,True
740200,PR: Security: Security Patrols,740200,C1,True,,BUDGET,COSTCTR,True
750100,PR: Special Facilities: Swimming pool equipment/material,750100,C1,True,,BUDGET,COSTCTR,True
750150,PR: Special Facilities: Sports centre equipment/materials,750150,C1,True,,BUDGET,COSTCTR,True
750200,PR: Special Facilities: Before and After School clubs,750200,C1,True,,BUDGET,COSTCTR,True
750250,PR: Special Facilities: Farm and Rural Studies,750250,C1,True,,BUDGET,COSTCTR,True
750300,PR: Special Facilities: External cluster funding contrib,750300,C1,True,,BUDGET,COSTCTR,True
750350,PR: Special Facilities: Pupil travel across the trust,750350,C1,True,,BUDGET,COSTCTR,True
750400,PR: Special Facilities: Home to school transport,750400,C1,True,,BUDGET,COSTCTR,True
760100,PR: Other Premises: Grounds Maintenance,760100,C0,True,,BUDGET,COSTCTR,True
760150,PR: Other Premises: Water and Sewerage,760150,C1,True,,BUDGET,COSTCTR,True
760200,PR: Other Premises: Septic Tanks,760200,C0,True,,BUDGET,COSTCTR,True
760250,PR: Other Premises: Refuse Removal,760250,C0,True,,BUDGET,COSTCTR,True
760300,PR: Other Premises: Hygiene Supplies & Services,760300,C0,True,,BUDGET,COSTCTR,True
760350,PR: Other Premises: Health & Safety,760350,C0,True,,BUDGET,COSTCTR,True
760400,PR: Other Premises: Electrical Service Contract,760400,C0,True,,BUDGET,COSTCTR,True
760450,PR: Other Premises: Mechanical Service Contract,760450,C0,True,,BUDGET,COSTCTR,True
