IsBalanceSheet,GroupingCode,CustomGrouping,FinanceCode,Title,AvailableToAllSchools,SchoolCodes,FinanceCodeTypeCode,LedgerCode,FinanceCodeEnabled,BalanceToScenario
False,ZZZ,ZZZ,PENS_KS5_SEP,Teachers Pensions Grant Post 16 Rate September - March (EW),True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PENS_KS5_SEP_FRI,Teachers Pensions Grant Post 16 Rate September - March (Fringe),True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PENS_KS5_SEP_INN,Teachers Pensions Grant Post 16 Rate September - March (Inner),True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PENS_KS5_SEP_OUT,Teachers Pensions Grant Post 16 Rate September - March (Outer),True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PP_YEAR_CALC,Pupil Premium Year Calc,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PPLAC_YEAR_CALC,Pupil Premium LAC Year Calc,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PPSER_YEAR_CALC,Pupil Premium Service Year Calc,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PUP%,Pupil Premium % Eligible,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PUP_RATE_PRI,Pupil Premium Rate Primary,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PUP_RATE_SEC,Pupil Premium Rate Secondary,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,PUPIL_CEN_FSM6_PRI,FSM6 Primary Pupil Numbers,True,,PUPILNUMBERS,DEFAULT,True,False
False,ZZZ,ZZZ,PUPIL_CEN_FSM6_SEC,FSM6 Secondary Pupil Numbers,True,,PUPILNUMBERS,DEFAULT,True,False
False,ZZZ,ZZZ,PUPIL_SPE,Pupil Special Band,True,,PUPILNUMBERS,DEFAULT,True,False
False,ZZZ,ZZZ,PUPIL_SPE_RATE,Pupil RAte,True,,STATISTICS,DEFAULT,True,False
False,Z11,ZZZ,PUPIL_UIFSM_JAN,Pupils taking UIFSM in January Census,True,,PUPILNUMBERS,DEFAULT,True,False
False,Z11,ZZZ,PUPIL_UIFSM_OCT,Pupils taking UIFSM in October Census,True,,PUPILNUMBERS,DEFAULT,True,False
False,ZZZ,ZZZ,PUPILFACTOR,Pupil Factor (Current Year/Last Year*100),True,,STATISTICS,DEFAULT,True,False
False,Z13,ZZZ,PUPILTOTAL,Total Pupil number exc adj,True,,PUPILNUMBERS,DEFAULT,True,False
